subject,date_time,ip,Qplace_1_age,Qreponse_1_age,Qplace_2_sex,Qreponse_2_sex,Qplace_25_NativeLang,Qreponse_25_NativeLang,Qplace_20_turk,Qreponse_20_turk,Qrt,Iid,Iname,Ireponse,Irt,Iplace,Gid,Gname,Gplace,Bid,Bname,Bplace
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103707,I,0.734,9.828,1,85186,NM-On-O-5-T-U,53,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103650,I,0.52,7.58,1,85129,NM-On-N-12-T-D,54,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103736,I,0.266,5.13,1,85215,UE-M-P-6-T-D,55,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103637,I,0.144,5.309,1,85116,DE-N-N-3-T-U,56,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103625,I,0.878,4.1,1,85104,DE-F-N-3-T-D,57,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103696,I,0.988,4.198,1,85175,DE-No-O-2-T-D,58,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103686,I,0.764,8.185,1,85165,UE-M-O-4-T-U,59,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103623,I,0.966,3.382,1,85102,DE-F-N-1-T-D,60,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103636,I,0.236,4.089,1,85115,DE-N-N-10-T-U,61,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103732,I,0.66,3.947,1,85211,NM-Ex-P-6-T-U,62,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103635,I,0.208,3.076,1,85114,DE-N-N-1-T-U,63,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103643,I,0.146,3.176,1,85122,DE-No-N-1-T-U,64,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103688,I,0.234,3.373,1,85167,DE-N-O-2-T-D,65,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103705,I,0.458,5.833,1,85184,NM-On-O-7-T-D,66,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103627,I,0.21,5.225,1,85106,DE-F-N-1-T-U,67,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103683,I,0.954,5.016,1,85162,UE-M-O-5-T-U,68,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103740,I,0.98,4.308,1,85219,UE-M-P-6-T-U,69,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103668,I,0.508,4.086,1,85147,NM-Ex-O-2-T-U,70,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103749,I,0.37,5.736,1,85228,NM-On-P-11-T-U,71,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103753,I,0.174,4.506,1,85232,UE-P-P-11-T-D,72,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103730,I,0.26,3.585,1,85209,NM-Ex-P-8-T-D,73,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103691,I,0.174,5.324,1,85170,DE-N-O-5-T-U,74,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103708,I,0.416,10.239,1,85187,NM-On-O-2-T-U,75,6606,target,2
